technique,k,model,cv_f1_mean,cv_f1_std
PCA (95% var),3,RandomForest,0.4301294857565668,0.036725087768235395
PCA (90% var),3,RandomForest,0.4301294857565668,0.036725087768235395
PCA (99% var),3,RandomForest,0.4301294857565668,0.036725087768235395
RFE,2,DecisionTree,0.42540709656063475,0.05471228415065735
RFE,2,RandomForest,0.4121860710096004,0.06652759058925208
PCA (99% var),3,DecisionTree,0.39972790684843823,0.0627984767113093
PCA (90% var),3,DecisionTree,0.39972790684843823,0.0627984767113093
PCA (95% var),3,DecisionTree,0.39972790684843823,0.0627984767113093
Full features (baseline),3,DecisionTree,0.39145196324143694,0.05786309364886645
Full features (baseline),3,XGBoost,0.38590656845928767,0.03712690912963462
PCA (95% var),3,XGBoost,0.38083981156762814,0.07791672829139588
PCA (90% var),3,XGBoost,0.38083981156762814,0.07791672829139588
PCA (99% var),3,XGBoost,0.38083981156762814,0.07791672829139588
RFE,2,XGBoost,0.3763195713067836,0.07484626656905591
SelectKBest,2,XGBoost,0.37565575561178977,0.1027004333156988
PCA (95% var),3,KNN,0.36885716500038745,0.07715157999460437
PCA (90% var),3,KNN,0.36885716500038745,0.07715157999460437
Full features (baseline),3,KNN,0.36885716500038745,0.07715157999460437
PCA (99% var),3,KNN,0.36885716500038745,0.07715157999460437
RFE,2,KNN,0.3643252341412099,0.07337965338776647
Full features (baseline),3,RandomForest,0.34794511702986275,0.05217626214139453
RFE,2,NaiveBayes,0.34321151716500553,0.1028645063146538
SelectKBest,2,DecisionTree,0.34312099163502396,0.08205144107627733
Full features (baseline),3,LogisticRegression,0.34180407197857404,0.09411173854517374
PCA (95% var),3,LogisticRegression,0.34180407197857404,0.09411173854517374
PCA (99% var),3,LogisticRegression,0.34180407197857404,0.09411173854517374
PCA (90% var),3,LogisticRegression,0.34180407197857404,0.09411173854517374
RFE,2,LogisticRegression,0.3394784905832252,0.08993761362735637
SelectKBest,2,LogisticRegression,0.3394784905832252,0.08993761362735637
SelectKBest,2,RandomForest,0.33659230686810243,0.076860961407083
SelectKBest,2,KNN,0.33504793629486,0.047185588945781426
SelectKBest,2,SVM,0.3298782298782299,0.05449189345752205
PCA (99% var),3,SVM,0.32610190266159456,0.06271891045312922
Full features (baseline),3,SVM,0.32610190266159456,0.06271891045312922
PCA (90% var),3,SVM,0.32610190266159456,0.06271891045312922
PCA (95% var),3,SVM,0.32610190266159456,0.06271891045312922
RFE,2,SVM,0.32091189633417294,0.07811801525450181
SelectKBest,2,NaiveBayes,0.31909645909645906,0.05652091541069522
Full features (baseline),3,NaiveBayes,0.30195360195360194,0.048060568569360404
PCA (90% var),3,NaiveBayes,0.2894609551137528,0.07846181708334143
PCA (95% var),3,NaiveBayes,0.2894609551137528,0.07846181708334143
PCA (99% var),3,NaiveBayes,0.2894609551137528,0.07846181708334143
