technique,k,model,cv_f1_mean,cv_f1_std
SelectKBest,10,LogisticRegression,0.8683328936624584,0.0388944666567439
SelectKBest,10,SVM,0.8637369839693573,0.05513100599061737
RFE,7,LogisticRegression,0.857622504537205,0.024967404426027854
SelectKBest,7,NaiveBayes,0.8568457269022167,0.03392018419079488
RFE,10,LogisticRegression,0.8547195767195767,0.03417934377986578
SelectKBest,5,LogisticRegression,0.8521960599567853,0.04589986828341651
SelectKBest,7,LogisticRegression,0.8480574321570253,0.03972695730360365
RFE,7,SVM,0.8474196458244314,0.032917020610783776
RFE,15,LogisticRegression,0.8443025737602008,0.0368142734959137
SelectKBest,7,SVM,0.8437743373211353,0.05094937119649384
SelectKBest,15,LogisticRegression,0.8437201664746597,0.045521306872302846
SelectKBest,5,NaiveBayes,0.8410651906977515,0.04813346227171702
RFE,10,SVM,0.8410527970818528,0.07119383710765131
RFE,15,SVM,0.8380620848908016,0.046697713186308304
SelectKBest,15,SVM,0.8374865267744525,0.05483786305229988
RFE,20,LogisticRegression,0.8352047758045771,0.03673800140180215
SelectKBest,7,XGBoost,0.8335296387670026,0.025568347537916418
RFE,10,RandomForest,0.8333014301830964,0.06041094628830973
SelectKBest,40,LogisticRegression,0.8315572235994259,0.056080476619175236
Full features (baseline),41,LogisticRegression,0.8315572235994259,0.056080476619175236
SelectKBest,10,RandomForest,0.8307261743288894,0.06972152126160161
SelectKBest,20,LogisticRegression,0.8278423114344087,0.052613723391895045
RFE,7,RandomForest,0.8276537732674495,0.05269953168950158
SelectKBest,5,SVM,0.8256565656565658,0.05149559654880869
SelectKBest,10,NaiveBayes,0.8254684013304703,0.023092926456403345
PCA (95% var),33,LogisticRegression,0.8237847046100546,0.04677023559320244
SelectKBest,7,RandomForest,0.8235377611009336,0.07319872118753744
RFE,15,RandomForest,0.8232840327050421,0.07369292954003166
SelectKBest,15,RandomForest,0.8228242397437444,0.0685850744169267
Full features (baseline),41,XGBoost,0.8216077629076892,0.07110165016350037
Full features (baseline),41,RandomForest,0.8206390434961864,0.06979759182127589
SelectKBest,40,RandomForest,0.8201939390946391,0.06561743772878008
SelectKBest,5,KNN,0.8191791657672276,0.05327614731118857
RFE,20,SVM,0.8185580182529335,0.050786525123912324
RFE,5,LogisticRegression,0.8177969148506588,0.07864219937268878
SelectKBest,20,RandomForest,0.8168376722140971,0.0585557690091471
RFE,40,LogisticRegression,0.8164625044477424,0.0401400768413377
RFE,10,XGBoost,0.8161596444073099,0.05713983427533081
PCA (90% var),29,LogisticRegression,0.8159436677469465,0.060075628166668504
RFE,5,SVM,0.8154897644728154,0.06881849163287954
SelectKBest,20,SVM,0.8151990628117837,0.03567174756883335
RFE,10,KNN,0.8150813373488688,0.040660443662059544
